,Anwoxhner,Besuxcher,tXK}x3Eg,Ld)s@xYEM,VersagerGolxdesel,VollzxeitToleranz,Coxmputer,Diagnxose,aVrx\un?R,Mf(xd_?zb,VorstaxndTablette,StelluxngZwilling,Duftnxote,Ehebruxch,zpPe&xf8*,fUTkNxLDY,GottheitxWeltraum,UmtausxchWeinfass,Eindrxuck,Fachmaxnn,3YxWRx-#-,UCMxV&MH8,ApfelmusHaxndbuch,AuerhuxhnHauswand,Fahrxwerk,Festxland,"gsxy.,fUy",cXyNxffH#,BeispielHufxeisen,BierglaxsFahrplan,Flugxplan,Gasmxaske,[-z8xS*E+,fa.{DxqnA,ChefarxztDreizack,DezernxatWerkbank
2,colorhalftone_input2%1,colorhalftone_input2%1,colorhalftone_input2%0,colorhalftone_input2%1,colorhalftone_input2%0,colorhalftone_input2%0,crystallize_input2%0,crystallize_input2%0,crystallize_input2%0,crystallize_input2%0,crystallize_input2%0,crystallize_input2%0,asterisk_input2%0,asterisk_input2%0,asterisk_input2%1,asterisk_input2%0,asterisk_input2%2,asterisk_input2%2,blur_input2%2,blur_input2%2,blur_input2%2,blur_input2%0,blur_input2%2,blur_input2%2,plaintext_input2%0,plaintext_input2%0,plaintext_input2%0,plaintext_input2%0,plaintext_input2%0,plaintext_input2%0,pixelation_input2%2,pixelation_input2%2,pixelation_input2%2,pixelation_input2%0,pixelation_input2%2,pixelation_input2%2
3,colorhalftone_input2%0,colorhalftone_input2%0,colorhalftone_input2%1,colorhalftone_input2%0,colorhalftone_input2%0,colorhalftone_input2%0,crystallize_input2%0,crystallize_input2%0,crystallize_input2%0,crystallize_input2%0,crystallize_input2%0,crystallize_input2%0,asterisk_input2%0,asterisk_input2%0,asterisk_input2%0,asterisk_input2%0,asterisk_input2%1,asterisk_input2%1,blur_input2%2,blur_input2%2,blur_input2%2,blur_input2%0,blur_input2%2,blur_input2%2,plaintext_input2%0,plaintext_input2%0,plaintext_input2%0,plaintext_input2%0,plaintext_input2%2,plaintext_input2%0,pixelation_input2%2,pixelation_input2%2,pixelation_input2%0,pixelation_input2%0,pixelation_input2%2,pixelation_input2%0
4,colorhalftone_input2%0,colorhalftone_input2%0,colorhalftone_input2%1,colorhalftone_input2%0,colorhalftone_input2%1,colorhalftone_input2%1,crystallize_input2%0,crystallize_input2%2,crystallize_input2%0,crystallize_input2%2,crystallize_input2%1,crystallize_input2%0,asterisk_input2%0,asterisk_input2%0,asterisk_input2%0,asterisk_input2%0,asterisk_input2%0,asterisk_input2%0,blur_input2%2,blur_input2%2,blur_input2%2,blur_input2%0,blur_input2%2,blur_input2%2,plaintext_input2%0,plaintext_input2%0,plaintext_input2%0,plaintext_input2%0,plaintext_input2%0,plaintext_input2%0,pixelation_input2%2,pixelation_input2%2,pixelation_input2%2,pixelation_input2%2,pixelation_input2%2,pixelation_input2%2
5,crystallize_input2%0,crystallize_input2%0,crystallize_input2%1,crystallize_input2%0,crystallize_input2%0,crystallize_input2%1,blur_input2%0,blur_input2%0,blur_input2%0,blur_input2%0,blur_input2%0,blur_input2%0,colorhalftone_input2%0,colorhalftone_input2%0,colorhalftone_input2%0,colorhalftone_input2%0,colorhalftone_input2%0,colorhalftone_input2%0,pixelation_input2%0,pixelation_input2%0,pixelation_input2%0,pixelation_input2%0,pixelation_input2%0,pixelation_input2%0,asterisk_input2%0,asterisk_input2%0,asterisk_input2%0,asterisk_input2%0,asterisk_input2%0,asterisk_input2%0,plaintext_input2%0,plaintext_input2%0,plaintext_input2%0,plaintext_input2%0,plaintext_input2%0,plaintext_input2%0
6,crystallize_input2%1,crystallize_input2%0,crystallize_input2%2,crystallize_input2%0,crystallize_input2%0,crystallize_input2%0,blur_input2%2,blur_input2%2,blur_input2%2,blur_input2%2,blur_input2%2,blur_input2%2,colorhalftone_input2%0,colorhalftone_input2%0,colorhalftone_input2%0,colorhalftone_input2%0,colorhalftone_input2%0,colorhalftone_input2%2,pixelation_input2%2,pixelation_input2%2,pixelation_input2%2,pixelation_input2%2,pixelation_input2%0,pixelation_input2%2,asterisk_input2%0,asterisk_input2%0,asterisk_input2%0,asterisk_input2%0,asterisk_input2%0,asterisk_input2%1,plaintext_input2%0,plaintext_input2%0,plaintext_input2%0,plaintext_input2%0,plaintext_input2%0,plaintext_input2%0
7,crystallize_input2%0,crystallize_input2%0,crystallize_input2%1,crystallize_input2%0,crystallize_input2%0,crystallize_input2%0,blur_input2%0,blur_input2%0,blur_input2%0,blur_input2%0,blur_input2%0,blur_input2%0,colorhalftone_input2%0,colorhalftone_input2%0,colorhalftone_input2%0,colorhalftone_input2%0,colorhalftone_input2%0,colorhalftone_input2%0,pixelation_input2%0,pixelation_input2%0,pixelation_input2%0,pixelation_input2%0,pixelation_input2%0,pixelation_input2%0,asterisk_input2%0,asterisk_input2%0,asterisk_input2%0,asterisk_input2%0,asterisk_input2%0,asterisk_input2%0,plaintext_input2%0,plaintext_input2%0,plaintext_input2%0,plaintext_input2%0,plaintext_input2%0,plaintext_input2%0
8,blur_input2%2,blur_input2%2,blur_input2%2,blur_input2%0,blur_input2%3,blur_input2%2,pixelation_input2%2,pixelation_input2%2,pixelation_input2%2,pixelation_input2%2,pixelation_input2%3,pixelation_input2%3,crystallize_input2%0,crystallize_input2%0,crystallize_input2%2,crystallize_input2%0,crystallize_input2%0,crystallize_input2%0,plaintext_input2%0,plaintext_input2%1,plaintext_input2%0,plaintext_input2%0,plaintext_input2%0,plaintext_input2%0,colorhalftone_input2%2,colorhalftone_input2%0,colorhalftone_input2%0,colorhalftone_input2%0,colorhalftone_input2%0,colorhalftone_input2%1,asterisk_input2%1,asterisk_input2%0,asterisk_input2%0,asterisk_input2%0,asterisk_input2%1,asterisk_input2%0
9,blur_input2%1,blur_input2%0,blur_input2%1,blur_input2%2,blur_input2%2,blur_input2%3,pixelation_input2%2,pixelation_input2%2,pixelation_input2%2,pixelation_input2%3,pixelation_input2%2,pixelation_input2%2,crystallize_input2%0,crystallize_input2%1,crystallize_input2%0,crystallize_input2%0,crystallize_input2%1,crystallize_input2%1,plaintext_input2%0,plaintext_input2%0,plaintext_input2%0,plaintext_input2%0,plaintext_input2%0,plaintext_input2%0,colorhalftone_input2%0,colorhalftone_input2%0,colorhalftone_input2%2,colorhalftone_input2%1,colorhalftone_input2%0,colorhalftone_input2%2,asterisk_input2%0,asterisk_input2%0,asterisk_input2%0,asterisk_input2%0,asterisk_input2%0,asterisk_input2%2
10,blur_input2%2,blur_input2%2,blur_input2%2,blur_input2%2,blur_input2%2,blur_input2%2,pixelation_input2%2,pixelation_input2%2,pixelation_input2%0,pixelation_input2%2,pixelation_input2%2,pixelation_input2%2,crystallize_input2%0,crystallize_input2%0,crystallize_input2%0,crystallize_input2%0,crystallize_input2%0,crystallize_input2%0,plaintext_input2%0,plaintext_input2%0,plaintext_input2%0,plaintext_input2%0,plaintext_input2%0,plaintext_input2%0,colorhalftone_input2%0,colorhalftone_input2%0,colorhalftone_input2%0,colorhalftone_input2%0,colorhalftone_input2%0,colorhalftone_input2%0,asterisk_input2%0,asterisk_input2%0,asterisk_input2%0,asterisk_input2%0,asterisk_input2%0,asterisk_input2%0
11,pixelation_input2%1,pixelation_input2%1,pixelation_input2%0,pixelation_input2%1,pixelation_input2%0,pixelation_input2%0,plaintext_input2%0,plaintext_input2%0,plaintext_input2%0,plaintext_input2%0,plaintext_input2%0,plaintext_input2%0,blur_input2%1,blur_input2%0,blur_input2%0,blur_input2%0,blur_input2%0,blur_input2%1,asterisk_input2%0,asterisk_input2%0,asterisk_input2%0,asterisk_input2%0,asterisk_input2%2,asterisk_input2%1,crystallize_input2%0,crystallize_input2%0,crystallize_input2%0,crystallize_input2%0,crystallize_input2%0,crystallize_input2%1,colorhalftone_input2%0,colorhalftone_input2%0,colorhalftone_input2%1,colorhalftone_input2%0,colorhalftone_input2%0,colorhalftone_input2%3
