,Anwoxhner,Besuxcher,tXK}x3Eg,Ld)s@xYEM,VersagerGolxdesel,VollzxeitToleranz,Coxmputer,Diagnxose,aVrx\un?R,Mf(xd_?zb,VorstaxndTablette,StelluxngZwilling,Duftnxote,Ehebruxch,zpPe&xf8*,fUTkNxLDY,GottheitxWeltraum,UmtausxchWeinfass,Eindrxuck,Fachmaxnn,3YxWRx-#-,UCMxV&MH8,ApfelmusHaxndbuch,AuerhuxhnHauswand,Fahrxwerk,Festxland,"gsxy.,fUy",cXyNxffH#,BeispielHufxeisen,BierglaxsFahrplan,Flugxplan,Gasmxaske,[-z8xS*E+,fa.{DxqnA,ChefarxztDreizack,DezernxatWerkbank
2,colorhalftone_input2%6.403,colorhalftone_input2%6.592,colorhalftone_input2%10.851,colorhalftone_input2%13.669,colorhalftone_input2%3.785,colorhalftone_input2%3.601,crystallize_input2%3.985,crystallize_input2%3.401,crystallize_input2%5.069,crystallize_input2%8.218,crystallize_input2%7.164,crystallize_input2%5.365,asterisk_input2%18.315,asterisk_input2%12.418,asterisk_input2%15.821,asterisk_input2%5.337,asterisk_input2%14.87,asterisk_input2%17.703,blur_input2%7.057,blur_input2%4.066,blur_input2%5.025,blur_input2%17.454,blur_input2%9.47,blur_input2%6.869,plaintext_input2%4.118,plaintext_input2%3.979,plaintext_input2%3.285,plaintext_input2%9.327,plaintext_input2%4.585,plaintext_input2%2.718,pixelation_input2%5.218,pixelation_input2%6.958,pixelation_input2%5.786,pixelation_input2%8.828,pixelation_input2%7.177,pixelation_input2%6.668
3,colorhalftone_input2%12.619,colorhalftone_input2%6.299,colorhalftone_input2%15.211,colorhalftone_input2%5.323,colorhalftone_input2%5.37,colorhalftone_input2%7.258,crystallize_input2%5.773,crystallize_input2%5.455,crystallize_input2%9.506,crystallize_input2%13.057,crystallize_input2%22.34,crystallize_input2%12.962,asterisk_input2%5.257,asterisk_input2%4.023,asterisk_input2%4.621,asterisk_input2%5.572,asterisk_input2%6.552,asterisk_input2%2.151,blur_input2%6.761,blur_input2%5.15,blur_input2%6.219,blur_input2%12.562,blur_input2%6.189,blur_input2%7.829,plaintext_input2%4.851,plaintext_input2%7.805,plaintext_input2%3.993,plaintext_input2%4.302,plaintext_input2%5.247,plaintext_input2%6.096,pixelation_input2%8.135,pixelation_input2%7.267,pixelation_input2%3.828,pixelation_input2%8.689,pixelation_input2%6.238,pixelation_input2%8.529
4,colorhalftone_input2%8.675,colorhalftone_input2%8.654,colorhalftone_input2%5.986,colorhalftone_input2%9.72,colorhalftone_input2%8.915,colorhalftone_input2%11.002,crystallize_input2%7.635,crystallize_input2%6.82,crystallize_input2%8.918,crystallize_input2%10.454,crystallize_input2%7.769,crystallize_input2%6.919,asterisk_input2%10.387,asterisk_input2%7.003,asterisk_input2%6.403,asterisk_input2%5.322,asterisk_input2%12.55,asterisk_input2%11.719,blur_input2%10.004,blur_input2%5.805,blur_input2%5.255,blur_input2%31.571,blur_input2%6.256,blur_input2%6.571,plaintext_input2%5.118,plaintext_input2%4.854,plaintext_input2%5.186,plaintext_input2%5.004,plaintext_input2%5.039,plaintext_input2%6.718,pixelation_input2%4.99,pixelation_input2%15.172,pixelation_input2%8.154,pixelation_input2%6.972,pixelation_input2%11.205,pixelation_input2%8.354
5,crystallize_input2%7.94,crystallize_input2%4.906,crystallize_input2%7.21,crystallize_input2%3.596,crystallize_input2%9.572,crystallize_input2%3.293,blur_input2%2.552,blur_input2%3.582,blur_input2%5.772,blur_input2%6.302,blur_input2%4.066,blur_input2%4.654,colorhalftone_input2%3.381,colorhalftone_input2%3.169,colorhalftone_input2%2.886,colorhalftone_input2%2.728,colorhalftone_input2%2.376,colorhalftone_input2%3.399,pixelation_input2%3.796,pixelation_input2%3.673,pixelation_input2%3.91,pixelation_input2%3.023,pixelation_input2%3.06,pixelation_input2%3.834,asterisk_input2%5.541,asterisk_input2%2.882,asterisk_input2%5.034,asterisk_input2%6.097,asterisk_input2%3.441,asterisk_input2%9.835,plaintext_input2%2.923,plaintext_input2%3.641,plaintext_input2%3.251,plaintext_input2%3.691,plaintext_input2%3.356,plaintext_input2%3.268
6,crystallize_input2%23.384,crystallize_input2%8.954,crystallize_input2%12.385,crystallize_input2%8.919,crystallize_input2%11.737,crystallize_input2%17.488,blur_input2%7.786,blur_input2%7.685,blur_input2%12.705,blur_input2%10.304,blur_input2%14.55,blur_input2%12.368,colorhalftone_input2%4.704,colorhalftone_input2%4.05,colorhalftone_input2%7.051,colorhalftone_input2%4.103,colorhalftone_input2%6.853,colorhalftone_input2%5.035,pixelation_input2%12.654,pixelation_input2%5.437,pixelation_input2%3.22,pixelation_input2%17.004,pixelation_input2%14.689,pixelation_input2%5.335,asterisk_input2%15.02,asterisk_input2%24.87,asterisk_input2%12.004,asterisk_input2%16.053,asterisk_input2%15.286,asterisk_input2%15.403,plaintext_input2%3.887,plaintext_input2%4.89,plaintext_input2%6.602,plaintext_input2%12.489,plaintext_input2%6.054,plaintext_input2%4.602
7,crystallize_input2%18.813,crystallize_input2%15.019,crystallize_input2%15.716,crystallize_input2%9.662,crystallize_input2%34.999,crystallize_input2%17.201,blur_input2%20.624,blur_input2%16.139,blur_input2%13.24,blur_input2%13.875,blur_input2%13.489,blur_input2%16.467,colorhalftone_input2%12.335,colorhalftone_input2%10.582,colorhalftone_input2%10.979,colorhalftone_input2%16.645,colorhalftone_input2%16.96,colorhalftone_input2%15.06,pixelation_input2%14.903,pixelation_input2%9.773,pixelation_input2%11.39,pixelation_input2%8.409,pixelation_input2%9.634,pixelation_input2%11.371,asterisk_input2%23.154,asterisk_input2%13.715,asterisk_input2%12.653,asterisk_input2%24.995,asterisk_input2%10.813,asterisk_input2%34.785,plaintext_input2%10.844,plaintext_input2%9.968,plaintext_input2%9.383,plaintext_input2%9.9,plaintext_input2%23.774,plaintext_input2%9.735
8,blur_input2%4.793,blur_input2%9.242,blur_input2%7.261,blur_input2%27.05,blur_input2%20.815,blur_input2%9.82,pixelation_input2%9.103,pixelation_input2%10.92,pixelation_input2%8.691,pixelation_input2%16.325,pixelation_input2%9.328,pixelation_input2%15.967,crystallize_input2%10.727,crystallize_input2%6.112,crystallize_input2%6.796,crystallize_input2%8.171,crystallize_input2%4.877,crystallize_input2%6.423,plaintext_input2%4.976,plaintext_input2%3.509,plaintext_input2%3.507,plaintext_input2%3.709,plaintext_input2%4.709,plaintext_input2%4.925,colorhalftone_input2%7.068,colorhalftone_input2%3.876,colorhalftone_input2%8.275,colorhalftone_input2%4.676,colorhalftone_input2%6.009,colorhalftone_input2%5.242,asterisk_input2%7.974,asterisk_input2%8.777,asterisk_input2%6.0,asterisk_input2%5.637,asterisk_input2%7.723,asterisk_input2%6.843
9,blur_input2%62.62,blur_input2%15.508,blur_input2%25.758,blur_input2%20.473,blur_input2%31.496,blur_input2%21.867,pixelation_input2%12.613,pixelation_input2%13.874,pixelation_input2%13.361,pixelation_input2%21.826,pixelation_input2%15.149,pixelation_input2%13.212,crystallize_input2%14.135,crystallize_input2%7.02,crystallize_input2%7.142,crystallize_input2%6.907,crystallize_input2%32.337,crystallize_input2%6.974,plaintext_input2%7.458,plaintext_input2%5.161,plaintext_input2%7.536,plaintext_input2%5.806,plaintext_input2%5.706,plaintext_input2%5.622,colorhalftone_input2%6.968,colorhalftone_input2%9.039,colorhalftone_input2%5.641,colorhalftone_input2%5.556,colorhalftone_input2%6.751,colorhalftone_input2%14.221,asterisk_input2%14.388,asterisk_input2%6.571,asterisk_input2%8.758,asterisk_input2%7.687,asterisk_input2%11.791,asterisk_input2%15.284
10,blur_input2%14.213,blur_input2%5.319,blur_input2%34.299,blur_input2%12.758,blur_input2%10.365,blur_input2%7.092,pixelation_input2%7.152,pixelation_input2%10.589,pixelation_input2%13.351,pixelation_input2%7.22,pixelation_input2%19.915,pixelation_input2%6.404,crystallize_input2%10.002,crystallize_input2%6.008,crystallize_input2%10.143,crystallize_input2%5.612,crystallize_input2%24.358,crystallize_input2%14.466,plaintext_input2%12.136,plaintext_input2%5.967,plaintext_input2%6.627,plaintext_input2%5.194,plaintext_input2%5.019,plaintext_input2%4.766,colorhalftone_input2%7.264,colorhalftone_input2%6.267,colorhalftone_input2%6.968,colorhalftone_input2%7.93,colorhalftone_input2%8.186,colorhalftone_input2%8.783,asterisk_input2%7.55,asterisk_input2%21.829,asterisk_input2%11.536,asterisk_input2%13.536,asterisk_input2%8.35,asterisk_input2%13.886
11,pixelation_input2%21.823,pixelation_input2%12.621,pixelation_input2%18.842,pixelation_input2%22.838,pixelation_input2%12.159,pixelation_input2%17.705,plaintext_input2%6.389,plaintext_input2%8.849,plaintext_input2%8.748,plaintext_input2%11.552,plaintext_input2%12.726,plaintext_input2%5.824,blur_input2%10.351,blur_input2%3.277,blur_input2%11.33,blur_input2%6.356,blur_input2%11.958,blur_input2%7.183,asterisk_input2%11.958,asterisk_input2%12.057,asterisk_input2%8.91,asterisk_input2%10.34,asterisk_input2%24.571,asterisk_input2%3.346,crystallize_input2%18.17,crystallize_input2%12.335,crystallize_input2%11.403,crystallize_input2%8.744,crystallize_input2%14.097,crystallize_input2%13.427,colorhalftone_input2%5.198,colorhalftone_input2%6.504,colorhalftone_input2%11.36,colorhalftone_input2%4.22,colorhalftone_input2%13.834,colorhalftone_input2%11.884
