,Anwohner,Besucher,tXK}G3Eg,Ld)s@YEM,VersagerGoldesel,VollzeitToleranz,Computer,Diagnose,aVr\un?R,Mf(d_?zb,VorstandTablette,StellungZwilling,Duftnote,Ehebruch,zpPe&f8*,fUTkNLDY,GottheitWeltraum,UmtauschWeinfass,Eindruck,Fachmann,3YWRx-#-,UCMV&MH8,ApfelmusHandbuch,AuerhuhnHauswand,Fahrwerk,Festland,"gsy.,fUy",cXyNffH#,BeispielHufeisen,BierglasFahrplan,Flugplan,Gasmaske,[-z8S*E+,fa.{DqnA,ChefarztDreizack,DezernatWerkbank
2,6.098,4.302,15.069,12.404,8.782,6.298,5.568,5.002,10.788,13.886,9.987,12.045,6.907,6.972,12.275,15.55,7.852,14.623,5.636,4.86,16.349,11.319,10.555,12.019,7.066,3.803,9.068,9.568,7.852,6.995,4.701,3.709,17.063,15.936,13.702,11.568
3,11.028,6.078,19.007,13.303,11.343,9.463,5.883,7.007,14.34,12.507,14.419,15.142,10.808,7.554,14.788,9.726,12.107,13.073,10.137,5.175,13.965,11.752,12.22,11.569,6.703,4.956,11.234,11.196,10.174,12.863,5.818,6.419,19.778,10.859,13.907,11.871
4,6.139,6.62,19.501,17.987,11.055,9.303,9.534,7.935,13.802,16.904,10.087,14.42,6.487,5.47,16.336,12.32,10.885,9.704,6.619,6.203,18.689,13.503,12.454,10.686,8.305,4.803,11.835,13.52,9.97,9.221,7.004,6.671,20.688,17.002,11.272,12.504
5,8.49,5.362,19.483,11.69,7.385,9.391,6.372,4.518,16.286,16.287,7.757,9.39,6.826,6.906,17.425,9.348,7.357,8.604,5.899,5.901,14.535,13.53,10.648,7.844,10.143,4.3,15.637,12.011,8.842,10.098,8.343,5.874,24.403,31.68,10.521,8.824
6,8.724,10.969,27.855,19.856,8.802,8.486,6.917,6.103,17.568,20.87,7.176,9.037,12.434,5.668,14.602,13.668,10.053,8.803,5.8,6.22,19.285,38.537,10.768,10.971,6.452,5.669,11.629,13.418,8.17,10.002,4.703,4.805,33.453,20.122,13.934,18.62
7,12.763,13.825,28.484,23.734,28.045,17.856,11.663,11.105,19.074,28.818,17.179,16.668,16.834,8.871,19.047,20.239,18.234,18.638,14.253,8.908,24.234,27.508,23.732,16.551,21.323,17.137,16.227,18.551,21.097,22.465,8.753,8.448,29.826,20.396,16.471,17.957
8,17.36,5.064,17.72,14.427,15.911,10.224,5.229,10.984,13.744,13.884,18.711,7.696,8.985,4.397,16.498,11.531,10.02,8.969,5.481,3.562,14.16,14.244,8.51,11.576,5.343,3.158,7.229,12.545,8.471,7.202,4.746,7.292,20.659,12.256,12.253,22.08
9,11.391,11.998,22.912,20.293,21.104,19.77,10.414,8.267,18.575,20.392,18.485,14.528,12.261,10.218,22.658,16.7,17.83,15.829,11.939,7.882,33.317,25.999,15.452,15.984,9.804,8.74,15.772,16.78,17.376,15.046,9.709,8.173,28.478,18.424,19.969,19.48
10,21.113,5.626,17.84,15.506,14.126,14.981,8.373,12.528,14.214,18.933,14.012,13.161,9.616,9.195,16.644,18.843,16.582,18.317,9.219,5.662,19.273,13.548,14.63,16.268,10.651,9.123,14.234,17.154,17.141,15.862,23.54,8.962,21.17,18.056,19.581,21.054
11,15.346,9.51,31.936,23.696,17.112,28.069,11.179,6.741,21.564,21.82,16.121,12.647,7.691,9.081,20.203,14.704,10.966,9.858,5.025,7.03,19.906,15.815,9.804,13.139,8.597,6.02,19.484,19.358,13.692,9.938,5.973,6.464,22.895,17.548,19.682,14.452
12,9.573,10.093,43.655,21.321,17.895,14.994,9.607,16.983,17.383,21.911,19.577,18.257,10.224,11.392,27.978,17.535,15.413,56.178,9.896,32.026,21.379,16.509,17.657,17.099,10.541,13.481,14.291,15.194,20.061,12.415,7.379,8.022,28.581,18.701,19.625,15.799
13,8.583,6.23,19.74,15.143,9.198,10.287,6.269,5.514,13.159,18.63,13.299,11.542,8.069,6.991,14.74,12.304,9.739,9.794,7.324,6.224,13.592,15.675,11.781,10.664,7.779,6.14,9.995,2.473,10.079,9.92,7.508,5.735,18.584,13.513,11.385,9.993
14,7.019,6.755,16.171,12.855,8.917,8.655,10.169,4.869,14.886,17.604,5.653,8.151,5.869,4.786,16.556,11.889,8.003,7.287,5.506,4.072,18.919,13.087,8.085,7.886,4.203,4.739,11.039,16.087,9.821,9.203,9.719,4.635,27.087,14.953,9.639,6.852
