,Anwoxhner,Besuxcher,tXK}x3Eg,Ld)s@xYEM,VersagerGolxdesel,VollzxeitToleranz,Coxmputer,Diagnxose,aVrx\un?R,Mf(xd_?zb,VorstaxndTablette,StelluxngZwilling,Duftnxote,Ehebruxch,zpPe&xf8*,fUTkNxLDY,GottheitxWeltraum,UmtausxchWeinfass,Eindrxuck,Fachmaxnn,3YxWRx-#-,UCMxV&MH8,ApfelmusHaxndbuch,AuerhuxhnHauswand,Fahrxwerk,Festxland,"gsxy.,fUy",cXyNxffH#,BeispielHufxeisen,BierglaxsFahrplan,Flugxplan,Gasmxaske,[-z8xS*E+,fa.{DxqnA,ChefarxztDreizack,DezernxatWerkbank
2,6.403,6.592,10.851,13.669,3.785,3.601,3.985,3.401,5.069,8.218,7.164,5.365,18.315,12.418,15.821,5.337,14.87,17.703,7.057,4.066,5.025,17.454,9.47,6.869,4.118,3.979,3.285,9.327,4.585,2.718,5.218,6.958,5.786,8.828,7.177,6.668
3,12.619,6.299,15.211,5.323,5.37,7.258,5.773,5.455,9.506,13.057,22.34,12.962,5.257,4.023,4.621,5.572,6.552,2.151,6.761,5.15,6.219,12.562,6.189,7.829,4.851,7.805,3.993,4.302,5.247,6.096,8.135,7.267,3.828,8.689,6.238,8.529
4,8.675,8.654,5.986,9.72,8.915,11.002,7.635,6.82,8.918,10.454,7.769,6.919,10.387,7.003,6.403,5.322,12.55,11.719,10.004,5.805,5.255,31.571,6.256,6.571,5.118,4.854,5.186,5.004,5.039,6.718,4.99,15.172,8.154,6.972,11.205,8.354
5,7.94,4.906,7.21,3.596,9.572,3.293,2.552,3.582,5.772,6.302,4.066,4.654,3.381,3.169,2.886,2.728,2.376,3.399,3.796,3.673,3.91,3.023,3.06,3.834,5.541,2.882,5.034,6.097,3.441,9.835,2.923,3.641,3.251,3.691,3.356,3.268
6,23.384,8.954,12.385,8.919,11.737,17.488,7.786,7.685,12.705,10.304,14.55,12.368,4.704,4.05,7.051,4.103,6.853,5.035,12.654,5.437,3.22,17.004,14.689,5.335,15.02,24.87,12.004,16.053,15.286,15.403,3.887,4.89,6.602,12.489,6.054,4.602
7,18.813,15.019,15.716,9.662,34.999,17.201,20.624,16.139,13.24,13.875,13.489,16.467,12.335,10.582,10.979,16.645,16.96,15.06,14.903,9.773,11.39,8.409,9.634,11.371,23.154,13.715,12.653,24.995,10.813,34.785,10.844,9.968,9.383,9.9,23.774,9.735
8,4.793,9.242,7.261,27.05,20.815,9.82,9.103,10.92,8.691,16.325,9.328,15.967,10.727,6.112,6.796,8.171,4.877,6.423,4.976,3.509,3.507,3.709,4.709,4.925,7.068,3.876,8.275,4.676,6.009,5.242,7.974,8.777,6.0,5.637,7.723,6.843
9,62.62,15.508,25.758,20.473,31.496,21.867,12.613,13.874,13.361,21.826,15.149,13.212,14.135,7.02,7.142,6.907,32.337,6.974,7.458,5.161,7.536,5.806,5.706,5.622,6.968,9.039,5.641,5.556,6.751,14.221,14.388,6.571,8.758,7.687,11.791,15.284
10,14.213,5.319,34.299,12.758,10.365,7.092,7.152,10.589,13.351,7.22,19.915,6.404,10.002,6.008,10.143,5.612,24.358,14.466,12.136,5.967,6.627,5.194,5.019,4.766,7.264,6.267,6.968,7.93,8.186,8.783,7.55,21.829,11.536,13.536,8.35,13.886
11,21.823,12.621,18.842,22.838,12.159,17.705,6.389,8.849,8.748,11.552,12.726,5.824,10.351,3.277,11.33,6.356,11.958,7.183,11.958,12.057,8.91,10.34,24.571,3.346,18.17,12.335,11.403,8.744,14.097,13.427,5.198,6.504,11.36,4.22,13.834,11.884
12,12.393,15.935,7.794,5.77,6.363,12.114,8.816,6.034,8.63,6.987,7.64,7.016,8.384,5.148,4.762,4.206,14.528,9.572,37.561,4.905,4.35,3.663,5.599,8.141,11.718,6.205,4.725,5.323,7.477,5.292,4.536,4.999,5.13,5.294,9.264,6.075
13,7.648,4.476,14.508,3.438,3.431,3.275,4.907,3.498,17.342,3.415,2.875,3.456,9.669,3.831,4.11,4.161,7.774,8.205,4.035,4.982,4.757,5.656,7.672,7.698,3.363,8.074,2.238,3.975,4.992,4.226,2.652,3.056,3.937,4.142,5.846,5.723
14,8.687,7.868,15.188,3.287,8.871,8.987,8.77,7.603,10.353,10.087,13.07,12.386,9.085,7.283,12.535,8.003,8.488,10.422,7.319,5.287,8.487,9.27,9.902,9.218,8.152,6.306,10.156,7.986,10.021,7.37,9.421,7.636,9.469,11.689,7.952,7.703
15,5.513,6.428,8.317,7.379,5.352,8.555,5.662,8.516,3.774,5.529,8.623,8.331,5.101,3.99,3.504,4.268,6.895,6.398,6.998,2.409,3.794,3.483,3.116,5.622,5.153,5.354,7.242,5.293,5.35,5.141,2.967,2.296,2.612,2.567,5.879,7.081
16,5.745,6.235,8.864,10.242,12.072,10.43,11.438,10.042,13.437,9.523,11.268,7.843,15.807,5.103,9.559,5.427,3.672,9.075,6.124,3.899,4.632,4.367,14.173,5.799,3.71,9.88,4.62,7.26,6.567,5.796,7.01,7.598,6.092,7.397,7.447,11.337
17,17.514,16.217,11.627,5.611,8.46,8.166,3.884,7.532,3.195,15.005,12.87,12.945,4.016,3.125,4.099,6.092,6.269,3.468,3.8,7.312,5.451,2.281,3.615,2.488,2.831,17.292,8.903,5.961,7.474,8.533,3.465,13.015,8.151,3.92,20.791,18.709
